normalized_product,total_occurrences,n_accounts,dominant_account_id,dominant_account_desc,dominant_pct,determinism_score,ambiguity_score,all_accounts
synth raw material 00351,6,1,602,,100.0,1.0,0.0,602:6
synth misc 00876,9,1,607,,100.0,1.0,0.0,607:9
synth retail 00630,10,1,608,,100.0,1.0,0.0,608:10
synth misc 00311,9,1,625,,100.0,1.0,0.0,625:9
synth misc 00700,7,1,613,,100.0,1.0,0.0,613:7
synth service 00768,8,1,401,,100.0,1.0,0.0,401:8
synth packaging 00335,4,1,609,,100.0,1.0,0.0,609:4
synth misc 00208,10,1,609,,100.0,1.0,0.0,609:10
synth retail 00735,5,1,602,,100.0,1.0,0.0,602:5
synth utility 00036,2,1,601,,100.0,1.0,0.0,601:2
synth maintenance 00115,2,1,625,,100.0,1.0,0.0,625:2
synth packaging 00243,4,1,601,,100.0,1.0,0.0,601:4
synth utility 00340,2,1,635,,100.0,1.0,0.0,635:2
synth transport 00627,1,1,704,,100.0,1.0,0.0,704:1
synth utility 00275,1,1,411,,100.0,1.0,0.0,411:1
synth retail 00647,2,1,4426,,100.0,1.0,0.0,4426:2
synth raw material 01039,1,1,701,,100.0,1.0,0.0,701:1
synth maintenance 00205,2,1,628,,100.0,1.0,0.0,628:2
synth fuel 00667,1,1,371,,100.0,1.0,0.0,371:1
synth raw material 00984,1,1,605,,100.0,1.0,0.0,605:1
